periodo,defl,paro,paro_n
1963,3.03087504017975,,
1964,3.26539157681341,2.10644427006082,1.91677798101644
1965,3.59903712562173,1.70521679004923,1.66732781118467
1966,3.86101997534824,1.30398931003765,1.44822424759999
1967,4.13872179209538,1.30398931003765,1.29587613312785
1968,4.36988750500831,1.30398931003765,1.22361472062369
1969,4.43960408418621,1.10337557003186,1.24606937124855
1970,4.7715949922925,1.20368244003475,1.39072938046967
1971,5.13033889943442,1.70521679004923,1.66225303555965
1972,5.54010440473477,2.20675114006371,2.03537111332148
1973,6.18988669685074,2.80859236008109,2.49168859127649
1974,7.20778588587214,3.00920610008688,3.04023125122479
1975,8.34993685664677,3.81166106011005,3.7407294779752
1976,9.78180337676591,4.81472976013901,4.64794963215447
1977,12.1366478021668,5.17396348317529,5.82800712753095
1978,14.5441872213704,6.92772256160934,7.37370219835048
1979,16.9593499385928,8.61661999560629,9.27318809576204
1980,19.5495684315887,11.3907026346087,11.443261329036
1981,22.5523794120227,14.0001364838861,13.6956675114178
1982,25.7635780013367,15.8112731708606,15.8337428650445
1983,28.9579749987437,17.2906175997531,17.7095386476482
1984,31.8538732034254,20.0372587738013,19.1715109658914
1985,34.5245450135788,21.4068373428771,20.0010885587734
1986,37.6555746992685,20.9303537241276,20.1182198145592
1987,39.738891131276,20.1794554558365,19.6677729269703
1988,41.570835778383,19.1965520747511,18.9245575152593
1989,44.4439075723428,17.2033038476262,18.2452524032973
1990,47.3915169654855,16.2029377161155,18.0300555444739
1991,50.5069570288135,16.2777780750814,18.5124531232717
1992,53.866080796689,18.3134358389536,19.6335924716356
1993,56.9839276487773,22.5918096931704,20.9770729138002
1994,59.5897374078986,24.0661647647985,21.915268712771
1995,62.6669471044324,22.8512562709188,22.0789120162527
1996,64.4272589447962,22.0330016795584,21.4428783402744
1997,66.2232412546622,20.5661306438269,20.1056182816118
1998,67.3455128276523,18.5653983808054,18.260002171326
1999,68.7794575093578,15.6067095230205,16.1725823184326
2000,71.6011504004514,13.8429717300577,14.1587744254638
2001,74.147475281998,10.5300385065009,12.4434545476859
2002,76.1649734821708,11.4505749217814,11.2009703091002
2003,78.5322287261063,11.4833438646387,10.2995227671185
2004,81.2171908807745,10.9615596971891,9.64724971718152
2005,83.7980265189792,9.1461669634896,9.34170033033317
2006,86.5825081307972,8.45224977043159,9.69071337441866
2007,89.4386353805097,8.23235374774538,10.9708422785882
2008,92.9120879293698,11.2547229321524,13.2604862953539
2009,92.6820369948318,17.8562446394831,16.1998865122934
2010,94.5490109026281,19.8599165833856,19.1083618788718
2011,96.9372624538337,21.3906002464355,21.5702486449045
2012,99.0258253776681,24.7872298450865,23.2901318129293
2013,99.9622424574924,26.0937013196321,23.9438526417289
2014,100.085365097534,24.4409592890283,23.4467880752311
2015,100,22.0574489874935,22.0582908458282
2016,100.166118603298,19.6348607532818,20.1967810801202
2017,101.689575816216,17.2238094871662,18.2805442073733
2018,103.141618165043,15.2546608906116,16.6379584045597
2019,104.225357577728,14.104344333042,15.4283242934186
2020,104.217256858824,15.5316551746891,14.5896148934573
2021,106.392197589878,14.7805521885522,13.8479664305229
2022,113.601607926227,12.9172641246542,13.0802415754597
