GENDER_R,AGE_R,EARNHR,YRSQUAL,C_D05,C_Q09,D_Q03,D_Q05a2,D_Q09,J_Q02a,J_Q03b,J_Q04a
1,51,,14,1,32,1,,,1,3,1
1,36,,10,2,14,,,,1,1,1
1,47,,12,1,29,1,,,1,0,1
2,63,,12,3,45,,,,1,2,1
1,49,9.25,6,1,36,1,1990,6,2,0,1
1,43,,12,3,15,,,,1,2,2
2,33,,10,3,14,,,,1,1,1
2,60,,10,3,7,,,,1,1,1
1,32,16.18,17,1,5,1,2011,1,1,0,1
1,34,12.04,17,1,10,1,2006,1,1,0,1
1,19,2.81,6,1,3,1,2010,1,2,0,1
2,56,,6,3,36,,,,2,0,1
1,22,,10,2,4,,,,2,0,1
1,37,,6,3,5,,,,2,0,1
1,61,4.05,10,1,18,1,2003,1,1,2,2
1,30,10.57,15,1,9,2,2008,2,1,0,1
1,40,,6,3,24,,,,1,3,2
2,19,,10,2,0,,,,2,1,1
2,46,,10,1,20,1,,,1,2,1
2,46,,10,3,3,,,,1,3,1
1,32,7.85,10,1,14,1,2005,1,2,0,1
2,25,8.17,15,1,1,1,2010,2,2,0,1
1,28,13.49,15,1,3,1,2011,2,2,0,1
1,23,5.49,10,1,5,2,2007,2,2,0,1
2,32,8.75,12,1,10,2,2006,1,1,1,1
2,57,,6,3,4,,,,1,3,1
2,46,,17,2,11,,,,1,3,2
2,47,13.75,17,1,19,2,1989,1,1,0,1
2,42,17.31,15,1,11,1,2004,1,1,1,1
2,17,,10,3,1,,,,2,0,1
1,37,,6,1,15,1,,,1,2,2
1,33,6.25,12,1,14,1,2009,2,1,0,2
1,37,,14,3,10,,,,1,0,1
2,33,,15,2,9,,,,1,1,1
1,28,,14,1,9,1,,,2,0,1
2,25,9.16,17,1,2,1,2010,1,2,0,1
1,54,5.2,6,1,35,1,1989,1,1,2,1
1,46,4.34,10,1,20,1,2004,1,2,0,2
2,39,8.09,6,1,27,1,1982,1,1,2,1
1,34,,14,3,10,,,,2,0,1
1,25,8,10,1,3,1,2011,5,2,0,1
2,32,9.83,17,1,8,3,2004,1,1,1,1
2,30,8.09,10,1,22,1,2003,1,1,1,1
1,41,,17,1,13,1,,,1,2,1
1,35,,12,1,15,1,,,1,0,2
2,44,,10,3,22,,,,1,2,1
2,31,5.14,12,1,12,1,2008,1,1,1,2
1,63,7.38,15,1,36,1,2000,1,1,1,2
2,47,,10,2,2,,,,1,2,1
2,55,7.91,15,1,30,2,2007,1,1,2,1
2,54,,17,1,4,1,,,1,2,1
2,23,9.13,14,1,2,2,2009,4,2,0,1
2,17,4.72,6,1,1,1,2009,2,1,0,1
2,33,9.25,14,1,12,1,2001,1,1,2,1
2,40,6.55,12,1,20,1,2005,1,1,2,2
1,27,5.78,14,1,5,2,2011,4,2,0,1
1,60,,10,3,25,,,,1,0,1
2,29,5.63,10,1,7,1,2006,1,1,1,2
2,65,,6,3,20,,,,1,4,1
1,49,8.09,6,1,34,1,1999,1,1,0,1
1,55,,10,1,40,1,,,1,2,1
1,36,10.98,15,1,15,1,2008,1,1,2,2
1,54,20.23,21,1,30,1,1988,1,1,3,2
2,38,,14,1,3,1,,,1,2,1
2,35,,6,2,1,,,,2,0,1
2,25,,10,2,20,,,,2,0,1
1,43,5.78,10,1,15,1,2005,1,1,0,1
2,52,,10,2,20,,,,2,2,2
2,65,,12,3,44,,,,2,2,1
2,19,12.72,12,1,0,1,2010,2,2,0,1
2,51,8.41,6,1,17,2,2001,2,1,3,1
2,29,4.5,10,1,3,1,1997,2,1,1,1
1,30,8.67,14,1,7,1,2007,1,1,2,2
2,41,,12,3,8,,,,1,2,2
2,47,6.35,10,1,15,1,2006,1,2,3,2
2,53,,10,1,13,1,,,1,3,1
1,45,10.09,14,1,22,1,2011,2,1,1,1
1,30,,12,1,9,1,,,1,0,2
2,44,5.77,10,1,25,2,2005,1,1,1,1
2,58,,10,3,15,,,,1,1,1
1,28,9.63,6,1,14,1,2010,3,1,0,1
2,59,,10,3,20,,,,1,2,1
2,19,,10,2,0,,,,2,0,1
2,36,7.43,15,1,9,1,2010,1,2,0,2
2,19,,10,2,0,,,,1,0,1
2,36,7.51,12,1,7,3,2005,1,1,0,2
