year,qtr,y,ly,u,lyp,un,gy
1980,2,124586,11.7327515194721,10.4252119891634,11.7180876814073,11.0024711433414,0.338491424735743
1980,3,124093.3,11.7287889810165,10.9045195825168,11.720811516441,11.47572629469,-0.396253845564054
1980,4,124812,11.7345638841411,11.5401448514458,11.7235620088893,11.9475927753816,0.577490312465301
1981,1,124108,11.7289074332568,12.1681699051486,11.7263620558241,12.4168388524067,-0.565645088433619
1981,2,123971,11.7278029462674,12.7640965533999,11.7292414304895,12.8819781378036,-0.11044869894441
1981,3,124522,11.7322376861034,13.3127791872649,11.7322314969904,13.3413688255186,0.443473983604292
1981,4,124398,11.7312413819876,13.8513274756061,11.7353627203792,13.7932954335074,-0.0996304115837177
1982,1,124908,11.7353327453035,14.0353294473641,11.7386655695764,14.2360246112022,0.409136331590965
1982,2,125382,11.7391203562082,14.3093470508162,11.742167937666,14.6678592780613,0.378761090468416
1982,3,126225,11.7458213077271,14.9870147010517,11.7458956347168,15.0869769190656,0.670095151896355
1982,4,126671,11.7493484529756,15.3180755113617,11.7498725660593,15.4913309490539,0.35271452484924
1983,1,127135,11.7530047929906,15.6131925709325,11.7541225905694,15.8788123064791,0.365634001503246
1983,2,127920,11.7591603475078,15.6618034265658,11.7586692395527,16.247203645145,0.615555451719452
1983,3,128108,11.7606289371448,16.0842057627002,11.7635353456909,16.5941216065212,0.146858963698726
1983,4,128935,11.7670636803867,16.4749000818426,11.7687440486085,16.9168169569404,0.643474324183835
1984,1,130004,11.7753204981951,17.5569936753681,11.7743166714245,17.2122217653329,0.825681780846388
1984,2,129602,11.77222349488,18.1163534088837,11.7802734870278,17.4769919025821,-0.309700331512097
1984,3,130731,11.7808970558803,18.5241443916234,11.7866353956989,17.7079987220154,0.86735610002755
1984,4,130898,11.7821736729425,19.2536248456391,11.7934182664735,17.9025131779012,0.127661706218163
1985,1,132357,11.7932580963208,19.2793997517899,11.8006343819247,18.0583163155519,1.10844233783798
1985,2,132234,11.7923283594147,19.7101254776088,11.8082889967546,18.1740336250718,-0.0929736906094547
1985,3,133604,11.8026354797562,19.653004921532,11.8163827554869,18.2490537737131,1.03071203414995
1985,4,135137,11.8140443576589,19.5055209826035,11.824906327247,18.2837254861357,1.14088779026851
1986,1,135519,11.816867130874,19.3092766650537,11.8338417891129,18.279274956467,0.282277321507429
1986,2,138747,11.8404074097533,19.0819084300037,11.8431644294316,18.2376920010197,2.35402788793042
1986,3,137769,11.833333648538,18.8045881383325,11.8528389273887,18.1616101871741,-0.707376121527581
1986,4,138649.3,11.8397030023474,18.5280866228501,11.8628282390326,18.0541907175791,0.636935380940962
1987,1,141488,11.8599701868155,18.461774033845,11.8730831296122,17.9189966561028,2.02671844680733
1987,2,143605,11.8748217539316,18.2403167637208,11.8835399111038,17.7598872515539,1.4851567116084
1987,3,146571,11.8952652316767,18.1280464979661,11.8941266998941,17.5810609886025,2.04434777450544
1987,4,149569,11.9155131037983,17.7159027115973,11.9047661635219,17.3870166203638,2.02478721216472
1988,1,150050,11.9187238508685,17.5819565828688,11.915381681108,17.182594765896,0.321074707021118
1988,2,151886,11.9308855184377,17.552404743058,11.9259033486112,16.9728415980647,1.21616675691953
1988,3,154624,11.9487516424144,17.2071749341073,11.9362633508462,16.7630528908711,1.78661239766686
1988,4,154278,11.946511448795,16.3225030872913,11.9463969864839,16.5588866452816,-0.224019361932903
1989,1,157915,11.9698121925653,15.9535016175128,11.9562473593776,16.3662784385402,2.33007437702106
1989,2,159470,11.979611095742,15.3585301210539,11.9657576449192,16.1910161081667,0.979890317675824
1989,3,161605,11.9929103651845,14.8135787833298,11.9748794965216,16.038629506168,1.32992694425234
1989,4,161337,11.9912506240451,14.7654110246083,11.9835732260044,15.914128180809,-0.165974113941481
1990,1,162751,11.9999767044452,14.3813502588764,11.99181041448,15.8217560236527,0.872608040005396
1990,2,165517,12.0168291875572,14.1635602955117,11.9995674414349,15.7650389780397,1.68524831120695
1990,3,165023,12.0138401371077,13.8859238134148,12.0068257902864,15.7466027337075,-0.298905044956932
1990,4,171264,12.0509615046078,13.8185075695983,12.0135777330434,15.7680720562169,3.71213675001112
1991,1,167974,12.0315644845038,13.6855861779333,12.0198199256816,15.8299087868038,-1.93970201040159
1991,2,170022,12.0436831194241,13.7264132944238,12.0255723890337,15.9313562888997,1.21186349203501
1991,3,171306,12.0512067099685,14.2048285111565,12.0308624842818,16.0703177243058,0.752359054438223
1991,4,172158,12.0561679387877,14.4010052976441,12.0357288918146,16.2433181654514,0.496122881919803
1992,1,173876.3,12.0660994058333,14.6723784013358,12.0402230071616,16.4457167540079,0.99314670456021
1992,2,171609.3,12.0529756603717,15.2189817498086,12.0444090002569,16.6717211861041,-1.31237454616517
1992,3,171718,12.0536088754037,15.7993404252267,12.0483672137836,16.9144308213987,0.063321503202296
1992,4,170599,12.0470710523578,16.9920639636949,12.0521833445874,17.1660370574024,-0.653782304585526
1993,1,169006,12.0376894962336,18.1326317530266,12.0559463655527,17.4180343601283,-0.938155612424829
1993,2,168995,12.0376244076687,18.9334566090097,12.059742054381,17.6618084624062,-0.00650885648489918
1993,3,171028,12.0495825647705,19.6229033137949,12.0636447782306,17.8891917204362,1.19581571017573
1993,4,171672,12.0533409584563,20.0410310705176,12.0677150807305,18.0928112705101,0.375839368584607
1994,1,173093.8,12.0615889230763,20.492224292858,12.0720047166266,18.2663778186657,0.824796461994737
1994,2,173472.8,12.0637760937447,20.6309256952597,12.076556456838,18.4048197083155,0.218717066841201
